Datetime,Tweet Id,Text,Username
2021-10-29 22:08:09+00:00,1454208459994505218,We all have the ability to take small actions every day that will help limit the spread of COVID-19. The most important thing we can do is to get vaccinated &amp; stay home if we’re feeling even a little bit unwell. You can book a vaccination appt. at https://t.co/NwxWObjVBt. (5/5),CMOH_Alberta
2021-10-29 22:08:09+00:00,1454208458417479687,"As we head into Halloween weekend, I encourage everyone to follow basic measures to celebrate safely. We are not yet through this 4th wave of COVID-19 so it’s important to continue to take steps to keep each other safe. Learn more at: https://t.co/lvUIxraGSX (4/5)",CMOH_Alberta
2021-10-29 22:08:08+00:00,1454208456488099844,"Sadly, 9 new deaths related to COVID-19 were also reported to Alberta Health in the last 24 hours. I extend my sincere condolences to all who are grieving the loss of a loved one today. (3/5) https://t.co/GCpAMYY0zU",CMOH_Alberta
2021-10-29 22:08:07+00:00,1454208452771950592,"Over the past 24 hours, we ID’d 603 new cases &amp; completed about 10.5K tests. Complete, up-to-date data can be found here: https://t.co/ZXjL7BpnF2 (2/5)",CMOH_Alberta
2021-10-29 22:08:07+00:00,1454208450641203207,"Here is a summary of the latest #COVID19AB numbers: There are now 765 people in hospital due to COVID-19. Of the 585 in non-ICU, 72.3% are unvaccinated or partially vaccinated. Of the 180 in ICU, 86.8% are unvaccinated or partially vaccinated. (1/5) https://t.co/vLYsAnOK3L",CMOH_Alberta
2021-10-29 15:59:25+00:00,1454115665330253828,"This is not the year for large Halloween parties. Keep indoor gatherings small &amp; limited to a max. of 10 vaccinated ppl from 2 households. Better yet, try meeting outdoors, keeping to a max. of 20 ppl. For tips on safe spooky fun, visit https://t.co/CwrxAJXlx4. #COVID19AB",CMOH_Alberta
2021-10-28 22:04:03+00:00,1453845040518901793,"I also want to remind Albertans that free influenza shots are available to anyone over the age of six months. If you haven’t yet got your flu shot, please do so as soon as you can. (11/11)",CMOH_Alberta
2021-10-28 22:04:03+00:00,1453845038727901186,"Keep gatherings small, and remember outdoor gatherings are a lower risk option. These simple precautions can be very effective at limiting the spread of COVID-19. For more Halloween tips and information on gathering restrictions, visit https://t.co/CwrxAJXlx4. (10/11)",CMOH_Alberta
2021-10-28 22:04:02+00:00,1453845037025046549,"Trick-or-treat w/members of your household &amp; wear a non-medical mask &amp; sanitize your hands often. If giving out candy, limit contact w/ others. Set treats outside spaced apart or use tongs to hand them out while wearing a mask. (9/11)",CMOH_Alberta
2021-10-28 22:04:02+00:00,1453845035527639041,"While we are dealing w/the 4th wave, there are still joyful moments in our lives. Halloween is a favourite time of year for many &amp; I ask everyone to follow basic measures to celebrate safely. Please, if you’re feeling even slightly unwell stay home &amp; do not hand out candy. (8/11)",CMOH_Alberta
2021-10-28 22:04:01+00:00,1453845033199841313,"Sadly, over the last 24 hrs, 12 new deaths were reported to Alberta Health. I extend my condolences to those mourning these individuals, and to anyone who has recently lost someone they cared about no matter the cause. You are not alone and there are supports available. (7/11) https://t.co/VWYUoGwFtA",CMOH_Alberta
2021-10-28 22:04:00+00:00,1453845028556746759,"We continue to see a slow and steady decline in hospitalizations and there are currently 779 people being treated for COVID-19 in hospital, including 185 in the ICU. (6/11) https://t.co/UEbLANFW2r",CMOH_Alberta
2021-10-28 22:03:59+00:00,1453845024584749059,"Over the last 24hrs, we identified 531 new cases of COVID-19 &amp; completed about 10.2K tests. Our positivity rate was about 5.4%. There are currently active alerts/outbreaks in 254 schools. Of these, 3 schools had 10+ cases who attended in the last 14 days while infectious. (5/11)",CMOH_Alberta
2021-10-28 22:03:59+00:00,1453845022957244416,"It’s just as important that vaccine hesitant individuals are treated with compassion &amp; understanding. If there is someone in your life going through this, I encourage you to reach out &amp; offer to connect them w/reliable resources. (4/11)",CMOH_Alberta
2021-10-28 22:03:58+00:00,1453845021296365576,"Vaccine hesitancy can be very complex &amp; we know fear &amp; uncertainty are major drivers of it. To help address this, it’s important to seek accurate info from trusted, expert sources to make the best informed decision they can. (3/11)",CMOH_Alberta
2021-10-28 22:03:58+00:00,1453845019853459456,"The risk of severe outcomes from COVID-19 infection in pregnant women has increased with variants of concern, incl Delta. Vaccination against COVID-19 is the best way to protect both parent and child from the virus and the long-lasting side effects it can cause. (2/11)",CMOH_Alberta
2021-10-28 22:03:58+00:00,1453845018247053312,"Here is a summary of today’s #COVID19AB update: I would like to thank those who took part in last night’s telephone town hall on vaccines, pregnancy &amp; fertility. A recording is avail. at https://t.co/wx0pGo0D0a. We’re developing other resources that will be posted next wk. (1/11)",CMOH_Alberta
2021-10-28 16:38:48+00:00,1453763188860784648,"There will be a #COVID19AB update today at 3:30 pm.
Join virtually:
➡️Online: https://t.co/lmibh3hDJV
➡️Twitter: https://t.co/Yru946fHfx
A video &amp; transcript for today can be found at: https://t.co/fNqBdKEUzs",CMOH_Alberta
2021-10-27 21:52:17+00:00,1453479692703608838,"Getting fully vaccinated will also help protect you, your friends and your family. Vaccines are safe and effective and significantly reduce your chance of infection. Book an appt. at: https://t.co/NwxWObjVBt (5/5)",CMOH_Alberta
2021-10-27 21:52:17+00:00,1453479691030081542,"Our actions, such as going out when sick with fever, cough, shortness of breath, loss of taste or smell, sore throat or runny nose can have very real consequences for those around us. Staying home when we feel unwell is critical to limiting the spread of COVID-19. (4/5)",CMOH_Alberta
2021-10-27 21:52:16+00:00,1453479689100701702,"Sadly, 10 new deaths related to COVID-19 were reported to Alberta Health in the last 24 hours. I extend my sincere condolences to all who are grieving the loss of a loved one today. (3/5) https://t.co/LHAghi1TpA",CMOH_Alberta
2021-10-27 21:52:16+00:00,1453479685569003523,"Over the past 24 hours, we ID’d 645 new cases &amp; completed about 11.3K tests. Complete, up-to-date data can be found here: https://t.co/ZXjL7BpnF2 (2/5)",CMOH_Alberta
2021-10-27 21:52:15+00:00,1453479683354505217,"Here is a summary of the latest #COVID19AB numbers: There are now 810 people in hospital due to COVID-19. Of the 626 in non-ICU, 72.3% are unvaccinated or partially vaccinated. Of the 184 in ICU, 87.5% are unvaccinated or partially vaccinated. (1/5) https://t.co/dqQ95MU1Jn",CMOH_Alberta
2021-10-27 16:24:27+00:00,1453397188999106567,"If you’re planning on trick-or-treating or handing out candy on Halloween, protect yourself &amp; others from #COVID19AB. Stay home if you’re feeling unwell, trick-or-treat with only your household &amp; maintain distance when handing out treats. More tips at https://t.co/lvUIxraGSX",CMOH_Alberta
2021-10-26 22:36:13+00:00,1453128360083787776,"On Oct. 27, from 6:15-7:45 pm, Dr. Eliana Castillo &amp; Dr. Verena Kuret, both from @ucalgary, will join me for a telephone town hall to answer questions about vaccines, fertility &amp; maternal health. To participate, register at https://t.co/wx0pGo0D0a by noon on Oct. 27. (8/8)",CMOH_Alberta
2021-10-26 22:36:13+00:00,1453128358670315525,2 doses offer stronger protection and allow you to access any business participating in the Restrictions Exemption Program. Those who are not fully vaccinated can provide a privately paid negative COVID-19 test from the previous 72hrs or valid proof of a medical exemption. (7/8),CMOH_Alberta
2021-10-26 22:36:12+00:00,1453128355214200839,"If you only have 1 dose, I urge you to get your 2nd ASAP. In Alberta, we have seen that receiving 1 dose of Pfizer or Moderna vaccine offers 57% protection against the Delta variant – with 2 doses the protection jumps to 89%. (6/8)",CMOH_Alberta
2021-10-26 22:36:12+00:00,1453128353796567050,"If you have questions/concerns about COVID vaccines, speak to your family doctor or a primary care provider. They know your history &amp; can provide trusted advice. If you don’t have a family doctor, visit https://t.co/q6rOfsh6fL to help find one in your community. (5/8)",CMOH_Alberta
2021-10-26 22:36:11+00:00,1453128352085286916,"The science is clear – vaccines work. They are safe &amp; save lives. In the last 3 months, unvaccinated ABs 80+ were 12x more likely to die from COVID than those who were fully vaccinated. Unvaccinated ABs 70-79, were 52x more likely to die from COVID. (4/8)",CMOH_Alberta
2021-10-26 22:36:11+00:00,1453128350449508354,"Sadly, over the last 24hrs, 12 new deaths were reported to Alberta Health. My thoughts are w/the family &amp; friends of these individuals. Their deaths are a painful reminder of the serious outcomes COVID-19 can cause for people of all ages, backgrounds &amp; health conditions. (3/8) https://t.co/llgGmEnJyb",CMOH_Alberta
2021-10-26 22:36:10+00:00,1453128347375001606,"There are currently 836 people being treated for COVID-19 in hospital, including 183 in ICU. (2/8) https://t.co/PkEdNTuNXp",CMOH_Alberta
2021-10-26 22:36:08+00:00,1453128340680871939,"Here is a summary of today’s #COVID19AB update: Over the last 24hrs, we identified 442 new cases of COVID-19 &amp; completed about 7.8K tests. There are currently active alerts/outbreaks in 242 schools - 2 had 10+ COVID cases who attended in the last 14 days while infectious. (1/8)",CMOH_Alberta
2021-10-26 17:07:10+00:00,1453045552694898690,"There will be a #COVID19AB update today at 4:00 pm.
Join virtually:
➡️Online: https://t.co/lmibh3hDJV
➡️Twitter: https://t.co/Yru946fHfx
A video &amp; transcript for today can be found at: https://t.co/fNqBdKEUzs",CMOH_Alberta
2021-10-25 22:27:12+00:00,1452763702466383875,"Dr. Eliana Castillo, Clinical Associate Professor &amp; Dr. Verena Kuret, head of Maternal Fetal Medicine, both from @UCalgary Dept. of Obstetrics &amp; Gynecology will also join to answer questions about vaccines, fertility &amp; maternal health. Register today https://t.co/SzmAFv6vjL (5/5)",CMOH_Alberta
2021-10-25 22:27:12+00:00,1452763701069688835,"Getting fully vaccinated provides the best protection against COVID-19. Some ABs have questions about getting vaccinated while pregnant or planning for a baby. I will be hosting a free telephone townhall on vaccines, pregnancy and fertility on Oct. 27 from 6:15-7:45 pm. (4/5)",CMOH_Alberta
2021-10-25 22:27:11+00:00,1452763699085709314,"Sadly, 25 new deaths related to COVID-19 were also reported to Alberta Health in the last 72 hours. I extend my sincere condolences to all who are grieving the loss of a loved one today. (3/5) https://t.co/du5CJiqEuG",CMOH_Alberta
2021-10-25 22:27:10+00:00,1452763695495458828,"Over the past 24 hours, we ID’d 368 new cases &amp; completed about 9.5K tests. On Oct 23, we ID’d 515 new cases from about 8.7K tests. On Oct 22, 709 new cases were ID’d from about 10.8K tests. Complete, up-to-date data can be found here: https://t.co/ZXjL7BpnF2 (2/5)",CMOH_Alberta
2021-10-25 22:27:10+00:00,1452763693461213186,"Here is a summary of the latest #COVID19AB numbers: There are now 821 people in hospital due to COVID-19. Of the 639 in non-ICU, 71.7% are unvaccinated or partially vaccinated. Of the 182 in ICU, 87.3% are unvaccinated or partially vaccinated. (1/5) https://t.co/6CjlS23Vh7",CMOH_Alberta
2021-10-22 21:43:36+00:00,1451665567228829696,"Washing hands, physical distancing, staying home when sick &amp; wearing masks can help prevent the spread of influenza &amp; #COVID19AB. It’s safe to get your COVID-19 dose at the same time as your influenza vaccine. You can book appts for both vaccines: https://t.co/PGM76U1VFg (5/5)",CMOH_Alberta
2021-10-22 21:43:36+00:00,1451665565907570697,"With influenza season upon us &amp; cooler weather keeping us indoors, more people may be exposed to cold, flu &amp; #COVID19AB. They all share similar symptoms which is why it’s important to get vaccinated, stay home &amp; get tested if you’re feeling unwell. (4/5)",CMOH_Alberta
2021-10-22 21:43:35+00:00,1451665564217352195,"Sadly, 12 new deaths related to COVID-19 were also reported to Alberta Health in the last 24 hours. I extend my sincere condolences to all who are grieving the loss of a loved one today. (3/5) https://t.co/863T62LtYB",CMOH_Alberta
2021-10-22 21:43:34+00:00,1451665560144654336,"Over the past 24 hours, we ID’d 656 new cases &amp; completed about 10.7K tests. Complete, up-to-date data can be found here. https://t.co/ZXjL7BpnF2 (2/5)",CMOH_Alberta
2021-10-22 21:43:34+00:00,1451665557900730368,"Here is a summary of the latest #COVID19AB numbers: There are now 889 people in hospital due to COVID-19. Of the 698 in non-ICU, 71.5% are unvaccinated or partially vaccinated. Of the 191 in ICU, 87.9% are unvaccinated or partially vaccinated. (1/5) https://t.co/ilPajo8E1W",CMOH_Alberta
2021-10-21 22:16:16+00:00,1451311398206779395,"We’ve posted tips &amp; advice online to keep Halloween fun &amp; safe. If you’re sick w/ even mild symptoms, stay home &amp; don’t hand out candy. Above all, please go the extra mile to keep us all safe. https://t.co/lvUIxraGSX (9/9)",CMOH_Alberta
2021-10-21 22:16:15+00:00,1451311396801613824,"I will be hosting a telephone town hall on Oct. 27, joined by other physicians, to answer questions about vaccines, fertility and maternal health. It’s free and open to anyone who is interested in this topic. Register at: https://t.co/SzmAFv6vjL (8/9)",CMOH_Alberta
2021-10-21 22:16:15+00:00,1451311395396521986,There’s a lot of misinformation about vaccines out there. There’s no evidence these vaccines impact male &amp; female fertility in any way. Vaccines are recommended for pregnant or nursing Albertans and you should get vaccinated. (7/9),CMOH_Alberta
2021-10-21 22:16:14+00:00,1451311393756565506,"Before booking, pls check the date on your immunization records to make sure you are now eligible, as appts made before 6 mths from the 2nd dose will need to be cancelled and rebooked for later. (6/9)",CMOH_Alberta
2021-10-21 22:16:14+00:00,1451311392393506816,"For everyone else who is eligible, the 3rd dose is a booster to strengthen &amp; prolong the protection from the primary series. Waiting until 6 mths have passed since your 2nd dose is important to maximize how long the protection will last. (5/9)",CMOH_Alberta
2021-10-21 22:16:14+00:00,1451311390745055236,"We've seen a strong uptake from ABs eligible for 3rd doses. 231,000+ boosters have been provided to ppl w/ immunocompromising conditions, First Nations, Métis &amp; Inuit ppl age 65+, &amp; seniors 75+. Ppl w/ immunocompromising cond. can get a booster 8 wks after their 2nd dose. (4/9)",CMOH_Alberta
